Mobile,Image_Url,Prices,Refurbished,Stores,Delivery,Timestamp,Product_Url
"Samsung Galaxy A32 5G 128 GB (Awesome Blue, 8 GB RAM)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTRYydg3qABQGfc7WoFqIcLfN1W5VfztYnPrD-vaWdtvuOYiYSMGZDdUj6KcyLdZ8TXXTshZtBamLtJj5S9P71Lk3JWfLaFkgo6f9OHpxs&usqp=CAE,"₹19,990.00",--,Gadgets Now,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABAhGgJzZg&sig=AOD64_0xO6Z1iKxModBXcL5m1blDvQD9bw&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8IsQ0&adurl=
"Samsung Galaxy A21S (White, 64GB, 4GB RAM)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQuNTLt3NgKlZX0PXP8gHJG0CEE_rpBJneHwlyjMBOpnUeNRpIsaDg_XYnM_ZcjnHovjqYAivnhum9AGQ8ZTZ_DZKogpcKSkrCcwqEjYDhX-pIcOLWu9GMh&usqp=CAE,"₹17,999.00",--,Gadgets Now,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABAjGgJzZg&sig=AOD64_2MsCpXTcCAXzEDBhzGhwPv3VUCVg&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8ItA0&adurl=
SAMSUNG Galaxy A52 Awesome Black 128 GB 6 GB RAM,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQFPnPuEzYl7Rts60VYJ-ZbP-0zR7Nus5RiptCqI1wktvoe_yEL1gp3FeXoC_QUPInYKm_gqbui8kQDhxoFZNr2YhQssYvdPGh1SamAODIF&usqp=CAE,"₹21,999.00",--,vlebazaar,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABAlGgJzZg&sig=AOD64_3RWn3INhiHmekjmAcgbjfOHF-w7Q&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8Itw0&adurl=
Samsung S20 8GB 128GB (Very Good) (Refurbished),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcROpyCUVktFyURpd81SHxpB9uG3-RcCCd12DCFMzEQrQBhis6MfwSI5yxVwiDao39kNVzt81odL3aQmX8g9awapddAHRduFyg43o1zrRvfn7TVmZgpzV-r2HA&usqp=CAE,"₹29,900.00 ",Refurbished_mobile,Best of Indian Products,Free returns,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABAnGgJzZg&sig=AOD64_2dimrTpMPIJvDuzavu20pWqn2XuQ&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8Iuw0&adurl=
"Refurbished Samsung Galaxy S20 Ultra (128 GB, 12 GB Ram, Cosmic Grey)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSYHVAO8b_HWCsO2yS7tEb0LGyjkRX9Fzlu0JsyhUGjzoXc_NXDGn1Dr---0vSzyYPMjMYWqE8mlqDLcLCFu-HvTirkD_12TUUX-OHtOF5SdAb72c8OKScc4A&usqp=CAE,"₹32,999.00 ",Refurbished_mobile,Xtracover,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABApGgJzZg&sig=AOD64_2Gq6cMpTCs0I3aLaHi4OeE_ragig&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8Ivw0&adurl=
Samsung Galaxy F62 8GB RAM,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQTCvj5t6l9085jB5x-U6LLrPBIxf9K4nRHjsGiR4QVv3yRgtleImI7cZsdmRSnsRoEQJXZKCZeSc2OKJsC0kM4jG8Xu0shrju9jL5Zsb0&usqp=CAE,"₹26,999.00",--,Bulkli,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABArGgJzZg&sig=AOD64_30ouuaR5ucDw_uLcjwqEffF-r6CA&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8IxA0&adurl=
"Samsung Galaxy S20 Ultra 5G 128 GB (Cosmic Grey, Cosmic Black, 12 GB RAM)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcShZVPBVhPX7ywl8ZWLPhu0hDne1pXZDEtDrdINLPXbXeQKvbAfAaq2asrB5Z1DB_owQjgzUV1Rii4iJ3dI97aI5uDCtQlgv8R7fVFpgA&usqp=CAE,"₹67,999.00",--,Gadgets Now,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABAtGgJzZg&sig=AOD64_14TUNK3EWpiFMbzjQpRNUb0-zpcA&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8Ixw0&adurl=
"Samsung Galaxy M32 64 GB (Black, 4 GB RAM)",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSnKPui8U9K683e3in3HBE29sLB3MOXu-D8aLS5YSQs07yicdIjtSbYsg8MKURWnxxiUXZZjk7Ct2k7pedac5kg8gXVFNhm0zCNufr6q8jeBoCUbA3_X0WVZA&usqp=CAE,"₹11,999.00",--,Gadgets Now,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABAvGgJzZg&sig=AOD64_3EHQmc62yqRYw-JXG_3SqIxEE_vw&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8Iyg0&adurl=
"Samsung Galaxy S10 Plus 128GB (Prism White, 8GB RAM)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSeokFSIVaYv65Zm5HXrpjI2QsySHOOVI-Kq38dw_xkOvlktFy-ArnlMLJprYfnv6dnAe5ifKsarJ4CHRVT4F-jRHyCC-LzO-9wRfCQt5xvR85qlSTZt8m3&usqp=CAE,"₹61,999.00",--,Gadgets Now,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABAxGgJzZg&sig=AOD64_2kdw6odVEyjE_hUDsy0_VQe4BFNg&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8IzQ0&adurl=
"Samsung Galaxy S21 Ultra 256 GB, 12 GB RAM, Phantom Black, Smartphone refurb",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSlBv1nYCBz2IJiOHgQju5GK8lMZMBacjZHcOPOQ4u87vNtb6lyBfQbYkcyK1Izjv_1bHu-XUubpMkkEmMxCA27rs2jWD2uD149FvrrRqh0&usqp=CAE,"₹55,000.00 ",Refurbished_mobile,Hi laptop.com,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABAzGgJzZg&sig=AOD64_2GWZlEmeVJvLPfwDX5ob5tWAmYZw&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8I0A0&adurl=
